restaurant_name;restaurant_id;attribution;note;restaurant_type[0];restaurant_type[1];restaurant_type[2];restaurant_type[3];ranking_general;ranking_cuisinetype;address;Arrondissement;Ville;Nb avis;excellent;verygood;medium;mediocre;horrible;cuisine;service;ratio;ambiance;URL
La Table de Colette;d19318900; Page attribuée;5;Cuisine raffinée;Française;Européenne;-;N° 1 sur 15301 restaurants à  Paris;N° 1 sur 6939 Française à  Paris;17 rue Laplace;75005;Paris France;173;149;7;3;0;0;5;5;5;NaN;https://www.tripadvisor.fr/Restaurant_Review-g187147-d19318900-Reviews-La_Table_de_Colette-Paris_Ile_de_France.html
Le Cinq;d699456; Page attribuée;4,5;Cuisine raffinée;Française;Européenne;Végétariens bienvenus;N° 70 sur 15301 restaurants à  Paris;N° 46 sur 6939 Française à  Paris;31 Avenue George V Four Seasons Hà´tel George V;75008;Paris France;2231;800;108;41;13;5;5;5;4;5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d699456-Reviews-Le_Cinq-Paris_Ile_de_France.html
Le Petit Champerret;d1109751; Page attribuée;4,5;Cuisine raffinée;Française;Européenne;-;N° 232 sur 15301 restaurants à  Paris;N° 161 sur 6939 Française à  Paris;30 rue Vernier;75017;Paris France;256;159;56;8;1;1;4,5;4,5;4;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1109751-Reviews-Le_Petit_Champerret-Paris_Ile_de_France.html
Tomy & Co;d11208448; Page attribuée;4,5;Cuisine raffinée;Française;Européenne;Végétariens bienvenus;N° 488 sur 15301 restaurants à  Paris;N° 344 sur 6939 Française à  Paris;22 rue Surcouf;75007;Paris France;353;182;49;22;3;2;4,5;4,5;4,5;3;https://www.tripadvisor.fr/Restaurant_Review-g187147-d11208448-Reviews-Tomy_Co-Paris_Ile_de_France.html
Automne;d13133319; Page attribuée;4,5;Cuisine raffinée;Française;-;-;N° 600 sur 15301 restaurants à  Paris;N° 429 sur 6939 Française à  Paris;11 rue Richard Lenoir;75011;Paris France;105;53;13;10;0;0;4,5;4,5;4,5;5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d13133319-Reviews-Automne-Paris_Ile_de_France.html
Un Jour à  Peyrassol;d1326622; Page attribuée;4,5;Cuisine raffinée;Française;Européenne;Végétariens bienvenus;N° 892 sur 15301 restaurants à  Paris;N° 619 sur 6939 Française à  Paris;13 rue Vivienne;75002;Paris France;149;65;44;6;1;0;4,5;4,5;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1326622-Reviews-Un_Jour_a_Peyrassol-Paris_Ile_de_France.html
Restaurant Lasserre;d780426; Page attribuée;4,5;Cuisine raffinée;Française;Européenne;Choix végétaliens;N° 1 190 sur 15301 restaurants à  Paris;N° 814 sur 6939 Française à  Paris;17 Avenue Franklin Roosevelt;75008;Paris France;162;66;13;9;1;1;4,5;4,5;4;5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d780426-Reviews-Restaurant_Lasserre-Paris_Ile_de_France.html
Restaurant le Gaigne;d6881625; Page attribuée;4,5;Cuisine raffinée;Française;Européenne;Traiteur;N° 1 379 sur 15301 restaurants à  Paris;N° 935 sur 6939 Française à  Paris;2 RUE DE VIENNE;75008;Paris France;162;73;38;9;2;4;4,5;4,5;4;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d6881625-Reviews-Restaurant_Le_Gaigne-Paris_Ile_de_France.html
Les Ambassadeurs;d12621198; Page attribuée;4,5;Cuisine raffinée;Française;Bar;Européenne;N° 2 309 sur 15301 restaurants à  Paris;N° 1 480 sur 6939 Française à  Paris;10 Place de la Concorde;75008;Paris France;109;50;14;7;10;0;4,5;4,5;4;5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d12621198-Reviews-Les_Ambassadeurs-Paris_Ile_de_France.html
Restaurant Kozo;d15192324; Page attribuée;4,5;Cuisine raffinée;Française;-;-;N° 2 857 sur 15301 restaurants à  Paris;N° 1 799 sur 6939 Française à  Paris;48 rue Saint Georges;75009;Paris France;51;35;2;0;0;2;4,5;4,5;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d15192324-Reviews-Restaurant_Kozo-Paris_Ile_de_France.html
La Cour Jardin;d3327962; Page attribuée;4,5;Cuisine raffinée;Française;Européenne;Végétariens bienvenus;N° 2 030 sur 15301 restaurants à  Paris;N° 1 309 sur 6939 Française à  Paris;Hotel Plaza Athenee 25 avenue Montaigne Hotel Plaza Athà©nà©e;75008;Paris France;145;54;22;14;3;2;4,5;4,5;4;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3327962-Reviews-La_Cour_Jardin-Paris_Ile_de_France.html
